Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Dummy (prior),0,0,0,0.7986425339366516,0.0,0.0,0.0,0.5,0.16081264116203917
Dummy (prior),1,0,1,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),2,0,2,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),3,0,3,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),4,0,4,0.7985774329130294,0.0,0.0,0.0,0.5,0.1608515168200779
Dummy (prior),5,1,0,0.7986425339366516,0.0,0.0,0.0,0.5,0.16081264116203917
Dummy (prior),6,1,1,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),7,1,2,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),8,1,3,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),9,1,4,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),10,2,0,0.7986425339366516,0.0,0.0,0.0,0.5,0.1608126411620392
Dummy (prior),11,2,1,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),12,2,2,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),13,2,3,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),14,2,4,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),15,3,0,0.7986425339366516,0.0,0.0,0.0,0.5,0.1608126411620392
Dummy (prior),16,3,1,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),17,3,2,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),18,3,3,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),19,3,4,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),20,4,0,0.7986425339366516,0.0,0.0,0.0,0.5,0.16081264116203917
Dummy (prior),21,4,1,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),22,4,2,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),23,4,3,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Dummy (prior),24,4,4,0.7985774329130294,0.0,0.0,0.0,0.5,0.16085151682007787
Logistic Regression,0,0,0,0.8978668390433097,0.7215007215007215,0.8025682182985554,0.7598784194528876,0.9232178340986584,0.08423870936083257
Logistic Regression,1,0,1,0.8878111865502748,0.6943661971830986,0.7913322632423756,0.7396849212303076,0.905940304521026,0.09145824493224526
Logistic Regression,2,0,2,0.8920142256708697,0.7115666178623719,0.7800963081861958,0.7442572741194488,0.9189627049473295,0.0906180191461699
Logistic Regression,3,0,3,0.8894277400581959,0.6959553695955369,0.8009630818619583,0.744776119402985,0.9195859137905265,0.0877531784982695
Logistic Regression,4,0,4,0.8903976721629486,0.6903485254691689,0.826645264847512,0.7523739956172388,0.9269987847752484,0.08931020468638151
Logistic Regression,5,1,0,0.892049127343245,0.7073170731707317,0.7913322632423756,0.746969696969697,0.9126847352239428,0.08834150646570184
Logistic Regression,6,1,1,0.8988037504041384,0.7246376811594203,0.8025682182985554,0.7616146230007617,0.9175187320072005,0.08575826884031007
Logistic Regression,7,1,2,0.8865179437439379,0.6904761904761905,0.7913322632423756,0.737471952131638,0.9101584990999538,0.0919084704721448
Logistic Regression,8,1,3,0.8916909149692854,0.7028169014084507,0.8009630818619583,0.7486871717929482,0.9194845367524255,0.09150161507159033
Logistic Regression,9,1,4,0.8929841577756223,0.7,0.8202247191011236,0.7553584626755359,0.925276024980342,0.0864173546855532
Logistic Regression,10,2,0,0.892049127343245,0.7073170731707317,0.7913322632423756,0.746969696969697,0.9174449293993309,0.0895012170186742
Logistic Regression,11,2,1,0.8855480116391853,0.6772068511198946,0.8250401284109149,0.743849493487699,0.9184675171073753,0.0934215946539023
Logistic Regression,12,2,2,0.895247332686712,0.7201767304860088,0.7849117174959872,0.7511520737327189,0.905522449165264,0.08910072849868773
Logistic Regression,13,2,3,0.9000969932104753,0.7262247838616714,0.8089887640449438,0.765375854214123,0.9269532950786648,0.08366313000733752
Logistic Regression,14,2,4,0.8874878758486906,0.6891334250343879,0.8041733547351525,0.7422222222222222,0.9213996529786004,0.0896735994387542
Logistic Regression,15,3,0,0.8988364576599871,0.7207977207977208,0.812199036918138,0.7637735849056604,0.9253056157689227,0.08470331534180475
Logistic Regression,16,3,1,0.8816682832201745,0.6827880512091038,0.7704654895666132,0.7239819004524887,0.9035793892683307,0.09405118080274961
Logistic Regression,17,3,2,0.8958939540898804,0.7165467625899281,0.7993579454253612,0.7556904400606981,0.9236975325088868,0.08532616651079884
Logistic Regression,18,3,3,0.8962172647914646,0.7120786516853933,0.8138041733547352,0.7595505617977528,0.9255476634542277,0.08683532191214488
Logistic Regression,19,3,4,0.8897510507597801,0.6936813186813187,0.8105939004815409,0.7475943745373798,0.9185519979724593,0.09109861083499485
Logistic Regression,20,4,0,0.8943115707821591,0.7108262108262108,0.8009630818619583,0.7532075471698113,0.9214438043097686,0.08696723407353069
Logistic Regression,21,4,1,0.8897510507597801,0.7008547008547008,0.7897271268057785,0.7426415094339622,0.914450127046224,0.0925571413154786
Logistic Regression,22,4,2,0.8926608470740381,0.7034965034965035,0.8073836276083467,0.7518684603886397,0.9226051299380691,0.0887259115075141
Logistic Regression,23,4,3,0.8965405754930488,0.7155049786628734,0.8073836276083467,0.7586726998491704,0.9150889323568212,0.08756178227979601
Logistic Regression,24,4,4,0.8832848367280957,0.6789617486338798,0.797752808988764,0.7335793357933579,0.9177084890272353,0.08885016589111233
Nearest Neighbors,0,0,0,0.9091790562378798,0.8489795918367347,0.6677367576243981,0.7475292003593891,0.8879606972177418,0.07610859728506789
Nearest Neighbors,1,0,1,0.9149692854833495,0.8529411764705882,0.6982343499197432,0.7678729037952339,0.8821043533639631,0.07560297445845458
Nearest Neighbors,2,0,2,0.9010669253152279,0.8365180467091295,0.6324237560192616,0.720292504570384,0.8659158700554325,0.08443582282573554
Nearest Neighbors,3,0,3,0.914322664080181,0.8455598455598455,0.7030497592295345,0.7677475898334793,0.8783378064868308,0.07649531199482704
Nearest Neighbors,4,0,4,0.9136760426770126,0.8423076923076923,0.7030497592295345,0.7664041994750657,0.8908851645102385,0.07425800193986422
Nearest Neighbors,5,1,0,0.9153199741435035,0.8602794411177644,0.6918138041733547,0.7669039145907474,0.8866017553216021,0.0740917905623788
Nearest Neighbors,6,1,1,0.9117361784675073,0.8404669260700389,0.6934189406099518,0.7598944591029023,0.8806733774800009,0.07659877141933398
Nearest Neighbors,7,1,2,0.9081797607500808,0.8583509513742071,0.651685393258427,0.7408759124087592,0.8719715234499386,0.0801293242806337
Nearest Neighbors,8,1,3,0.911412867765923,0.8428290766208252,0.6886035313001605,0.7579505300353356,0.8806860496097633,0.07840931134820564
Nearest Neighbors,9,1,4,0.914322664080181,0.8509803921568627,0.6966292134831461,0.766107678729038,0.8717612960664409,0.07869382476559975
Nearest Neighbors,10,2,0,0.90530058177117,0.8248031496062992,0.6725521669341894,0.7409372236958444,0.8741286564598784,0.08112475759534583
Nearest Neighbors,11,2,1,0.911412867765923,0.8388349514563107,0.6934189406099518,0.7592267135325131,0.8845309037503005,0.07789201422567088
Nearest Neighbors,12,2,2,0.914322664080181,0.8623481781376519,0.6837881219903692,0.7627573858549687,0.8782478018728758,0.0761332040090527
Nearest Neighbors,13,2,3,0.9123827998706757,0.8577235772357723,0.6773675762439807,0.7569506726457399,0.8776385648650581,0.0772195279663757
Nearest Neighbors,14,2,4,0.9136760426770126,0.832089552238806,0.7158908507223114,0.7696289905090595,0.8801798142720674,0.0766763659877142
Nearest Neighbors,15,3,0,0.9140271493212669,0.8577154308617234,0.6869983948635634,0.7629233511586453,0.8861359994231642,0.07619909502262444
Nearest Neighbors,16,3,1,0.9049466537342385,0.8405797101449275,0.651685393258427,0.7341772151898734,0.8735500159213938,0.08263821532492727
Nearest Neighbors,17,3,2,0.9127061105722599,0.8467583497053045,0.6918138041733547,0.7614840989399293,0.8876352506157356,0.07467183963789202
Nearest Neighbors,18,3,3,0.9165858389912707,0.8502879078694817,0.7110754414125201,0.7744755244755245,0.8912961964115128,0.07401228580666021
Nearest Neighbors,19,3,4,0.9104429356611704,0.846,0.6789727126805778,0.7533392698130009,0.8815458048751958,0.07844810863239574
Nearest Neighbors,20,4,0,0.916289592760181,0.8568627450980392,0.7014446227929374,0.7714033539276258,0.8849719344719776,0.07358758888170654
Nearest Neighbors,21,4,1,0.9078564500484966,0.8393574297188755,0.6709470304975923,0.7457627118644068,0.8739500003249263,0.0819139993533786
Nearest Neighbors,22,4,2,0.9146459747817652,0.8432122370936902,0.7078651685393258,0.7696335078534031,0.8851034240744473,0.07680569026834788
Nearest Neighbors,23,4,3,0.911412867765923,0.8539553752535497,0.6757624398073836,0.7544802867383512,0.8855638447891552,0.07723246039443907
Nearest Neighbors,24,4,4,0.9152925961849337,0.869120654396728,0.6821829855537721,0.7643884892086331,0.876802204300726,0.07627546071774977
Linear SVM,0,0,0,0.9230769230769231,0.8842315369261478,0.7110754414125201,0.7882562277580071,0.9199198666002354,0.06415247996930534
Linear SVM,1,0,1,0.9204655674102813,0.8631984585741811,0.7191011235955056,0.7845884413309983,0.9037291803406527,0.06666599519962749
Linear SVM,2,0,2,0.9059165858389913,0.8458333333333333,0.651685393258427,0.7361740707162284,0.9190185922888466,0.07363520884043807
Linear SVM,3,0,3,0.9207888781118655,0.8634615384615385,0.7207062600321027,0.7856517935258093,0.9177575529142649,0.06474741008978067
Linear SVM,4,0,4,0.925961849337213,0.8675373134328358,0.7463884430176565,0.8024158757549612,0.9265224426667359,0.06242121879451084
Linear SVM,5,1,0,0.9195216548157724,0.8681102362204725,0.7078651685393258,0.7798408488063661,0.9097979580793707,0.06587214480410335
Linear SVM,6,1,1,0.9214354995150339,0.8725490196078431,0.7142857142857143,0.7855251544571933,0.9180928769633677,0.06533854558312606
Linear SVM,7,1,2,0.9169091496928549,0.8588235294117647,0.7030497592295345,0.7731685789938217,0.9073082446825793,0.06867812867411174
Linear SVM,8,1,3,0.9175557710960233,0.8552123552123552,0.7110754414125201,0.7765118317265557,0.9136992221261884,0.069540484910481
Linear SVM,9,1,4,0.9233753637245393,0.8711538461538462,0.7271268057784912,0.7926509186351706,0.928043098238249,0.06215370398441384
Linear SVM,10,2,0,0.9159663865546218,0.8565815324165029,0.6998394863563403,0.7703180212014135,0.9153084284928282,0.06888523028240132
Linear SVM,11,2,1,0.9188490139023602,0.845724907063197,0.7303370786516854,0.7838070628768303,0.9189068176058124,0.06761848387877294
Linear SVM,12,2,2,0.918525703200776,0.8702594810379242,0.6998394863563403,0.7758007117437722,0.9035725658138432,0.0668548976649365
Linear SVM,13,2,3,0.9214354995150339,0.876984126984127,0.709470304975923,0.7843833185448092,0.9242804504779667,0.06352953346418341
Linear SVM,14,2,4,0.9204655674102813,0.857685009487666,0.7255216693418941,0.7860869565217391,0.9193750365542204,0.0656758639927742
Linear SVM,15,3,0,0.9217840982546864,0.8742632612966601,0.7142857142857143,0.7862190812720848,0.9221567291333888,0.06537023525130571
Linear SVM,16,3,1,0.9107662463627546,0.8490945674044266,0.6773675762439807,0.7535714285714286,0.9043754589585459,0.07123653537605575
Linear SVM,17,3,2,0.9253152279340446,0.8813229571984436,0.7271268057784912,0.7968337730870713,0.9226545187515027,0.06304863064002077
Linear SVM,18,3,3,0.9233753637245393,0.8683206106870229,0.7303370786516854,0.7933740191804708,0.9216625184395733,0.06529884837973549
Linear SVM,19,3,4,0.9175557710960233,0.8458646616541353,0.7223113964686998,0.7792207792207793,0.9170631851885549,0.06651781489504235
Linear SVM,20,4,0,0.9237233354880414,0.8657844990548205,0.7351524879614767,0.7951388888888888,0.9187856827806081,0.0638314775107386
Linear SVM,21,4,1,0.9120594891690915,0.8434442270058709,0.6918138041733547,0.7601410934744268,0.9127582352597137,0.07099195361133154
Linear SVM,22,4,2,0.9188490139023602,0.8522727272727273,0.7223113964686998,0.7819287576020851,0.9185854653920887,0.06531794306846132
Linear SVM,23,4,3,0.9182023924991918,0.87,0.6982343499197432,0.7747105966162066,0.9128774832500438,0.06725070654454729
Linear SVM,24,4,4,0.9214354995150339,0.87109375,0.7158908507223114,0.7859030837004405,0.920566866604714,0.0644495744685968
RBF SVM,0,0,0,0.9230769230769231,0.9035639412997903,0.6918138041733547,0.7836363636363637,0.8791405666891641,0.06817518762176851
RBF SVM,1,0,1,0.9233753637245393,0.886,0.7110754414125201,0.7889581478183437,0.8758605675814429,0.06795277866678881
RBF SVM,2,0,2,0.9085030714516651,0.8679653679653679,0.6436597110754414,0.7391705069124423,0.8666073134435051,0.07934668997091121
RBF SVM,3,0,3,0.923052053022955,0.8873239436619719,0.7078651685393258,0.7875,0.886326447059741,0.06666054682451343
RBF SVM,4,0,4,0.9279017135467184,0.898406374501992,0.723916532905297,0.8017777777777778,0.8942741469057257,0.0632657727250295
RBF SVM,5,1,0,0.9243697478991597,0.8961303462321792,0.7062600321027287,0.7899461400359067,0.876531164396242,0.0668224445632741
RBF SVM,6,1,1,0.9204655674102813,0.885480572597137,0.695024077046549,0.7787769784172662,0.8793639240711979,0.06795102894126843
RBF SVM,7,1,2,0.9191723246039444,0.8976545842217484,0.6757624398073836,0.7710622710622711,0.8710269623930179,0.07131258688415822
RBF SVM,8,1,3,0.9172324603944391,0.8662674650698603,0.6966292134831461,0.7722419928825622,0.8834625457333913,0.07192960646363752
RBF SVM,9,1,4,0.9220821209182024,0.8866396761133604,0.7030497592295345,0.7842435094001791,0.8781850910768713,0.068105402970659
RBF SVM,10,2,0,0.9146735617323852,0.8670756646216768,0.680577849117175,0.762589928057554,0.8752943453856064,0.07287394346368081
RBF SVM,11,2,1,0.9172324603944391,0.8677354709418837,0.695024077046549,0.7718360071301248,0.8890659015732937,0.07116513522725229
RBF SVM,12,2,2,0.9214354995150339,0.8925619834710744,0.6934189406099518,0.7804878048780488,0.8666547526985139,0.06843646230440895
RBF SVM,13,2,3,0.9240219851277077,0.9127659574468086,0.6886035313001605,0.7849954254345837,0.8732852009019957,0.06710803012562473
RBF SVM,14,2,4,0.9240219851277077,0.8849206349206349,0.7158908507223114,0.7914818101153505,0.8821530923245885,0.06611303166657193
