Modelo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,Brier_mean,Brier_std
CatBoost,0.9211172046226536,0.004505415138689747,0.8668560483916834,0.012937111570058822,0.7188443017656502,0.018186585418694744,0.7858187311891435,0.013504417472495985,0.9201375976402859,0.005624344041569423,0.06560400296497129,0.0029533128995187998
Logistic Regression,0.8919563515923418,0.00479793925468485,0.7037832315574408,0.014037471424906791,0.8012841091492777,0.01309539521949992,0.7492480956563533,0.009677374291953686,0.9183037838230733,0.006490346646035749,0.08877370688985918,0.0028163336802841115
Neural Net,0.9196688311973301,0.004558759577110259,0.8650190824331142,0.017631529614766932,0.7128089887640451,0.021055670501104958,0.7812894731642273,0.013615482243674478,0.9179690271420218,0.006892531776796899,0.06640178631742075,0.0028932103905807255
Linear SVM,0.9193326340459336,0.004480670465462597,0.8631522994359137,0.011386629295818372,0.7124879614767256,0.019209775016939098,0.7804888525683024,0.013942794968050063,0.9166727391041557,0.006620171094983951,0.0663633219951521,0.0028100670582074548
Calibrated Random Forest,0.9210785034748064,0.004092635303836659,0.8667043153705025,0.011669187354342856,0.7187800963081861,0.01708999249336265,0.785728031321351,0.012379176116230173,0.9152330842215999,0.006257532970175019,0.0663032562298541,0.002924279393850713
Balanced Random Forest,0.883990510924955,0.005041360666462726,0.6780711196186396,0.013485275008883505,0.8081540930979133,0.012267443583810055,0.7373114778987994,0.009723824774718363,0.9149016316962444,0.005925901585654227,0.09809871491404888,0.002737344837172843
AdaBoost,0.9201990649277693,0.004337732342037784,0.8599310890794747,0.011456275282013116,0.7213483146067416,0.018680367930627488,0.7844398999389695,0.01327331654251175,0.9148510631961448,0.006389389737183678,0.14165812100697892,0.002814796331558972
XGBoost,0.9191774992471062,0.004135130361123041,0.8598551116415021,0.01349851004526772,0.7155056179775282,0.017713493309528643,0.7809152983876148,0.01241496085898444,0.9146230330489392,0.005993531904670433,0.06805438839603305,0.0031172331346542496
Random Forest,0.920509497539223,0.0045053570832833175,0.8675616146741977,0.013718823045274942,0.7145425361155698,0.01897963713256207,0.7834984976676966,0.013708742912744924,0.9117818485727713,0.005943923563996315,0.06730622299827936,0.0027951059529762214
QDA,0.9126599567679046,0.004076273839801976,0.8146306841462557,0.013930456621167703,0.7334831460674157,0.014784552644236787,0.7718130750832363,0.010943895984224173,0.9051477113197924,0.008860210512600539,0.0789990247748447,0.003779906207054913
Nearest Neighbors,0.9118194617994925,0.0037961408755210566,0.8479544955616337,0.01007849748182276,0.6851364365971108,0.019456902171259984,0.7577259075323142,0.01280811438398523,0.8807271323996149,0.00635864524106264,0.07742617378817529,0.002746153070063964
RBF SVM,0.9203801356400203,0.00451644163177266,0.8860957019409024,0.013504074018657093,0.6939967897271268,0.018811651200805933,0.7782225833285156,0.014120142153391713,0.8786481987001941,0.00783135043650278,0.06919754785760762,0.0034441343060315093
Decision Tree,0.8648645867359852,0.005699934137048893,0.6601634738288068,0.01625436299040321,0.6791011235955057,0.019148517487355878,0.669313706694643,0.013674353787632055,0.7954081683331586,0.009485786989602979,0.13513541326401485,0.0056999341370489
Naive Bayes,0.2612185908460228,0.013952073447641026,0.2125258475761472,0.002896409350562538,0.9858747993579453,0.0063071854588727105,0.3496587284326938,0.00383985594459985,0.7037971529614466,0.08555214342692236,0.736971053073691,0.014883802251088147
Dummy (prior),0.7985904531177539,2.6040409448890853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16084374168847013,1.5550263215476367e-05
