Modelo,Brier_mean,Brier_std
CatBoost,0.048698412536128666,0.0020568716369823653
XGBoost,0.04984686453563428,0.0021665063715421424
Calibrated Random Forest,0.050129838123659703,0.0020243339344324664
Random Forest,0.05052478038007712,0.0019409392274732306
Neural Net,0.05056251429773492,0.002121162656490073
Linear SVM,0.05156272021382339,0.00205342507171362
RBF SVM,0.05374336849893629,0.0024992862774646713
Logistic Regression,0.05408896750825092,0.0019195763004945213
Balanced Random Forest,0.056803475379796034,0.001909249497274501
Nearest Neighbors,0.06094447536830147,0.0024191900033130012
QDA,0.06906277381943976,0.0027669374266734792
Decision Tree,0.09870704978253332,0.004643319293107042
AdaBoost,0.1437933538116726,0.003369261343168344
Dummy (prior),0.2314402108417948,2.2418782299126196e-05
Naive Bayes,0.35070474678503005,0.05113740887141252
