Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Dummy (prior),0,0,0,0.7407886231415644,0.0,0.0,0.0,0.5,0.1920208963281818
Dummy (prior),1,0,1,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),2,0,2,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),3,0,3,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),4,0,4,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),5,1,0,0.7407886231415644,0.0,0.0,0.0,0.5,0.19202089632818184
Dummy (prior),6,1,1,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),7,1,2,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),8,1,3,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),9,1,4,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),10,2,0,0.7407886231415644,0.0,0.0,0.0,0.5,0.19202089632818184
Dummy (prior),11,2,1,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),12,2,2,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),13,2,3,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),14,2,4,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),15,3,0,0.7407886231415644,0.0,0.0,0.0,0.5,0.1920208963281818
Dummy (prior),16,3,1,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),17,3,2,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),18,3,3,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),19,3,4,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),20,4,0,0.7407886231415644,0.0,0.0,0.0,0.5,0.19202089632818184
Dummy (prior),21,4,1,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),22,4,2,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),23,4,3,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Dummy (prior),24,4,4,0.7410281280310378,0.0,0.0,0.0,0.5,0.19190544508475438
Logistic Regression,0,0,0,0.9327731092436975,0.8578313253012049,0.8877805486284289,0.8725490196078431,0.9630602812340875,0.05548102461025696
