Modelo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,Brier_mean,Brier_std
CatBoost,0.9387042576487432,0.002693827904180844,0.934650209111537,0.005764759863365192,0.8940631695283205,0.007646605838786581,0.9138721807414945,0.003943906249442101,0.9718783141353023,0.0027491486716999677,0.048698412536128666,0.0020568716369823653
XGBoost,0.9373981869103681,0.0027967402548147347,0.9358576057722828,0.006369941884910243,0.8889084349713836,0.009145067163489203,0.91172835920344,0.004195146443811647,0.9717568270219706,0.0027354874579454333,0.04984686453563428,0.0021665063715421424
Balanced Random Forest,0.9312685294964065,0.0034407869826011345,0.8954234102424421,0.006866815028311085,0.9183787171896586,0.006834214527261327,0.9067275095158556,0.004615527767418646,0.9713157093403676,0.0027854412264088214,0.056803475379796034,0.001909249497274501
Random Forest,0.937501663054239,0.0023221742869779082,0.937431676298618,0.005650416675709565,0.8874869390171699,0.0077678021365301915,0.9117372076587579,0.0034954484879061837,0.970545328460419,0.0028286325574641254,0.05052478038007712,0.0019409392274732306
Calibrated Random Forest,0.9368939183522397,0.0031829040693662908,0.9338947120377853,0.007461846582701528,0.8895847483718176,0.009337252528273634,0.9111452348373718,0.00466316146411194,0.970509356123875,0.003161518451414225,0.050129838123659703,0.0020243339344324664
AdaBoost,0.9362731367261522,0.002647081739018769,0.9355565449580945,0.006809431048607015,0.8859224314189855,0.008502841864490589,0.9100136825679296,0.0039243872899908435,0.9690165931397324,0.002724679407391365,0.1437933538116726,0.003369261343168344
Neural Net,0.9373465407949346,0.0032487755851748593,0.9355138228041162,0.009033838095842257,0.8891930688770475,0.009121050078829993,0.9116978659828864,0.0045895223222173235,0.9689895154201986,0.0026176630330715053,0.05056251429773492,0.002121162656490073
Logistic Regression,0.9338677552644574,0.0033339667875639553,0.9130122582642619,0.007137903702186962,0.9044432129465165,0.007168950787097696,0.9086743710634297,0.004584476972266154,0.9665390135276724,0.002907734894320011,0.05408896750825092,0.0019195763004945213
Linear SVM,0.938057732381918,0.0031104431833425617,0.934808460422431,0.0068771105520164764,0.8920016735741069,0.008594905388394627,0.9128584498038915,0.004527323577018071,0.9653821619887011,0.003087774729784861,0.05156272021382339,0.00205342507171362
QDA,0.9223844529977925,0.0034280465232832775,0.9108372450011707,0.00791157970572569,0.8720935938425104,0.007853346317175419,0.8910007591928842,0.00481775801985312,0.9613048237519675,0.0023192665103017557,0.06906277381943976,0.0027669374266734792
RBF SVM,0.9389370120949969,0.0028966283698683227,0.937289222482145,0.006056877254936253,0.8918591671600553,0.007219189940276206,0.9139798228402506,0.004183753932413843,0.9597355186276255,0.00395480200394459,0.05374336849893629,0.0024992862774646713
Nearest Neighbors,0.9288634071848542,0.003446816287545685,0.9349455239488669,0.005064504477471824,0.8646290744029997,0.00818526246908411,0.8983888436097588,0.005173650017060186,0.9494578155320332,0.0034274055072565815,0.06094447536830147,0.0024191900033130012
Decision Tree,0.9012929502174666,0.004643319293107027,0.8620697926329748,0.008154057297403861,0.8675434616143675,0.009781039899092233,0.8647527226403198,0.00647979692980201,0.8940664462543382,0.005283137366952088,0.09870704978253332,0.004643319293107042
Naive Bayes,0.6407614583548856,0.05039897210535494,0.5064138553041851,0.03844533584508094,0.9683252417604106,0.01154328917972981,0.6639103329231736,0.02989973375990432,0.8823554209928424,0.01734897758511186,0.35070474678503005,0.05113740887141252
Dummy (prior),0.6362343310822799,8.225927093961083e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2314402108417948,2.2418782299126196e-05
