Modelo,Brier_mean,Brier_std
CatBoost,0.06560400296497129,0.0029533128995187998
Calibrated Random Forest,0.0663032562298541,0.002924279393850713
Linear SVM,0.0663633219951521,0.0028100670582074548
Neural Net,0.06640178631742075,0.0028932103905807255
Random Forest,0.06730622299827936,0.0027951059529762214
XGBoost,0.06805438839603305,0.0031172331346542496
RBF SVM,0.06919754785760762,0.0034441343060315093
Nearest Neighbors,0.07742617378817529,0.002746153070063964
QDA,0.0789990247748447,0.003779906207054913
Logistic Regression,0.08877370688985918,0.0028163336802841115
Balanced Random Forest,0.09809871491404888,0.002737344837172843
Decision Tree,0.13513541326401485,0.0056999341370489
AdaBoost,0.14165812100697892,0.002814796331558972
Dummy (prior),0.16084374168847013,1.5550263215476367e-05
Naive Bayes,0.736971053073691,0.014883802251088147
