Modelo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,Brier_mean,Brier_std
CatBoost,0.9539894429755786,0.004527266802938795,0.9565441856869425,0.006336869422812693,0.9052148997134671,0.010843857954326443,0.9301378991778623,0.007091864133228443,0.9793257308883345,0.0029163600697071877,0.03797991715705601,0.0033461897995241178
Balanced Random Forest,0.9437605026342402,0.0047581139775029705,0.9063057414248137,0.008070712196737212,0.9300477554918813,0.008862595884421828,0.917998294161504,0.006958677605792489,0.9786678162642828,0.0030146813362184246,0.047180105896898784,0.002773034336057318
Calibrated Random Forest,0.9526186850178406,0.004569099793718313,0.9509491685151663,0.0069229770592190805,0.9068194842406876,0.010155041128131674,0.9283308134850156,0.007072381762343935,0.9781964801698884,0.003368727340459006,0.039276486692988485,0.003301809171533917
XGBoost,0.9536661197344715,0.0045285125512025525,0.9560523245166529,0.006050195662160074,0.9047182425978987,0.010880809802552207,0.9296447959403068,0.007095575462355888,0.9780272360581751,0.0032989254717370295,0.03888465961696466,0.0034170078244264773
Random Forest,0.9536143983819,0.00397638064283179,0.9536608572304135,0.005122123549758017,0.9070487106017191,0.009906363138366958,0.9297433028295213,0.006246569822068381,0.9775586067516493,0.0036310164584793863,0.040477817803656564,0.00306601852959458
AdaBoost,0.9494116685695392,0.004935754219409922,0.9498985922120384,0.0047316892003374505,0.8979178605539636,0.013949365281930318,0.9231207443700281,0.007946308280601952,0.9766888612973166,0.0031894676107271274,0.1373062494220077,0.003244540614298427
Neural Net,0.9507953380561357,0.004630694630946924,0.9495670601601635,0.008167487632401351,0.9026552053486151,0.012464589570608104,0.9254505009379262,0.007274819446379979,0.9764137316792042,0.00373669751659589,0.040225360927576545,0.0035033647445797435
Logistic Regression,0.9458554055062299,0.004360950323711418,0.9207664649664893,0.006387476968810043,0.9191595033428844,0.009917995946113626,0.9199345876618508,0.006620260645491214,0.9752637349941601,0.0032101370720449413,0.04374876676456557,0.002992857548814458
Linear SVM,0.9505754533403306,0.004799944970367594,0.9614113009897136,0.005428428213560494,0.8897039159503342,0.012368196677099753,0.9241262794979922,0.00772178245613797,0.9744326750684066,0.0033543900719554243,0.04051187266154194,0.0034189931450015723
QDA,0.9363377570680588,0.004432075483355821,0.905353995427413,0.00781662676325916,0.9067812798471823,0.010194203678415548,0.9060254770293814,0.006669443508980136,0.9703785822519133,0.0032627567360626634,0.05738334853085572,0.0040661705212139245
RBF SVM,0.9506013223762981,0.004363400532838364,0.953183184585761,0.005018371284631303,0.8981852913085006,0.011281622204571844,0.9248321995034398,0.006944298410059876,0.9636036172335902,0.005660647832965478,0.04239445242304996,0.003680760880253334
Nearest Neighbors,0.9373594105253831,0.004411710136003716,0.9419817425197243,0.0059458236110741846,0.8684622731614136,0.01228352945275024,0.9036765797926474,0.0072269599165127275,0.9591109333161277,0.005124583457725757,0.05153961124552783,0.0035000511333161564
Decision Tree,0.9215699608202602,0.0046372345508451426,0.879795693365556,0.008224142053757263,0.8899713467048713,0.011461318051575941,0.8847989030354695,0.007045935822633425,0.9138548383942845,0.0058672546083704405,0.07843003917973963,0.004637234550845142
Naive Bayes,0.6381371117424064,0.054049379836562286,0.48624405390027653,0.038767265899322965,0.9709264565425023,0.010529036586245601,0.6468328665614975,0.03224787551592955,0.8920612857304313,0.01679456598847582,0.3513438567653618,0.0540131437097545
Dummy (prior),0.6615155769089699,4.3762935301705495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2239127194933498,1.4135175684730772e-05
