Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Dummy (prior),0,0,0,0.6616031027795733,0.0,0.0,0.0,0.5,0.2238844491419803
Dummy (prior),1,0,1,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),2,0,2,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),3,0,3,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),4,0,4,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),5,1,0,0.6616031027795733,0.0,0.0,0.0,0.5,0.2238844491419803
Dummy (prior),6,1,1,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),7,1,2,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),8,1,3,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),9,1,4,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),10,2,0,0.6616031027795733,0.0,0.0,0.0,0.5,0.22388444914198033
Dummy (prior),11,2,1,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),12,2,2,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),13,2,3,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),14,2,4,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),15,3,0,0.6616031027795733,0.0,0.0,0.0,0.5,0.22388444914198033
Dummy (prior),16,3,1,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),17,3,2,0.6614936954413191,0.0,0.0,0.0,0.5,0.2239197870811921
Dummy (prior),18,3,3,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),19,3,4,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119217
Dummy (prior),20,4,0,0.6616031027795733,0.0,0.0,0.0,0.5,0.22388444914198039
Dummy (prior),21,4,1,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),22,4,2,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),23,4,3,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Dummy (prior),24,4,4,0.6614936954413191,0.0,0.0,0.0,0.5,0.22391978708119215
Logistic Regression,0,0,0,0.9482870071105365,0.9276759884281581,0.9188156638013372,0.9232245681381958,0.9737813717654228,0.042950079006200355
Logistic Regression,1,0,1,0.937601034594245,0.9105769230769231,0.9044890162368673,0.9075227599425012,0.9728937400626098,0.048752567215900516
Logistic Regression,2,0,2,0.9482702877465244,0.9244019138755981,0.9226361031518625,0.9235181644359465,0.9790846817374224,0.041743220621885124
Logistic Regression,3,0,3,0.9430973165211769,0.9199614271938283,0.9111747851002865,0.9155470249520153,0.9731780322870073,0.04562054388139385
Logistic Regression,4,0,4,0.9515033947623667,0.9219190968955786,0.936007640878701,0.9289099526066351,0.9759117190950077,0.0399482697130587
Logistic Regression,5,1,0,0.9482870071105365,0.9318403115871471,0.9140401146131805,0.922854387656702,0.9728019992450574,0.04140376096141851
Logistic Regression,6,1,1,0.9398642095053347,0.9088319088319088,0.9140401146131805,0.9114285714285715,0.9726589305570728,0.047629136711550724
Logistic Regression,7,1,2,0.9456838021338506,0.9181731684110371,0.9216809933142311,0.9199237368922784,0.9773551206678113,0.04412525345712749
Logistic Regression,8,1,3,0.9456838021338506,0.9205741626794258,0.9188156638013372,0.9196940726577438,0.9759205886389545,0.0435646617168998
Logistic Regression,9,1,4,0.9463304235370191,0.9143932267168391,0.9283667621776505,0.9213270142180094,0.9773938665703155,0.042216269088708465
Logistic Regression,10,2,0,0.9492566257272139,0.918233082706767,0.933142311365807,0.9256276646139271,0.9799664895024236,0.041359787135816964
Logistic Regression,11,2,1,0.9437439379243453,0.9185043144774688,0.9149952244508118,0.9167464114832536,0.9738871289846428,0.04502745308518126
Logistic Regression,12,2,2,0.9414807630132558,0.9163461538461538,0.9102196752626552,0.9132726401533301,0.9734137754287491,0.04591783780091781
Logistic Regression,13,2,3,0.9424506951180084,0.9189971070395371,0.9102196752626552,0.9145873320537428,0.9729474241443925,0.046728945100309296
Logistic Regression,14,2,4,0.953443258971872,0.9370764762826719,0.9245463228271251,0.9307692307692308,0.9774307452004096,0.039500192144907104
Logistic Regression,15,3,0,0.9418228829993536,0.9204655674102813,0.9063992359121299,0.9133782483156881,0.9722943492678501,0.046726949149718984
Logistic Regression,16,3,1,0.9531199482702878,0.9336538461538462,0.9274116523400191,0.930522280785817,0.9821203998577139,0.03889939048937757
Logistic Regression,17,3,2,0.9434206272227611,0.916030534351145,0.9169054441260746,0.9164677804295943,0.9745892234107412,0.044761952676939824
Logistic Regression,18,3,3,0.9537665696734562,0.9216417910447762,0.9436485195797517,0.9325153374233128,0.9806657946504512,0.03918986220519167
Logistic Regression,19,3,4,0.9405108309085031,0.9169082125603865,0.9063992359121299,0.9116234390009607,0.9672410396599326,0.04866319544555626
Logistic Regression,20,4,0,0.9431157078215902,0.9175455417066155,0.9140401146131805,0.9157894736842105,0.9714260251799987,0.04667437331566145
Logistic Regression,21,4,1,0.9495635305528612,0.9255014326647565,0.9255014326647565,0.9255014326647565,0.9752282973930076,0.04184124625326247
Logistic Regression,22,4,2,0.9489169091496928,0.9189443920829407,0.9312320916905444,0.9250474383301708,0.9774914315537293,0.03959747992982949
Logistic Regression,23,4,3,0.9424506951180084,0.920619554695063,0.9083094555873925,0.9144230769230769,0.9755835459689791,0.046045269709961256
Logistic Regression,24,4,4,0.944713870029098,0.9203454894433781,0.9159503342884432,0.9181426519865965,0.9763276540242988,0.04483147229736438
Nearest Neighbors,0,0,0,0.9424692954104719,0.9484004127966976,0.87774594078319,0.9117063492063492,0.961781142203117,0.04800258564964448
Nearest Neighbors,1,0,1,0.9311348205625606,0.9389473684210526,0.8519579751671442,0.8933400100150225,0.9546668272520937,0.054820562560620754
Nearest Neighbors,2,0,2,0.9317814419657291,0.9390756302521008,0.8538681948424068,0.894447223611806,0.956004027706588,0.055777562237310056
Nearest Neighbors,3,0,3,0.9308115098609764,0.9334027055150884,0.8567335243553008,0.8934262948207171,0.9567007537245084,0.053397995473650185
Nearest Neighbors,4,0,4,0.9450371807306822,0.9424823410696267,0.89207258834766,0.9165848871442591,0.9650054477672556,0.046789524733268674
Nearest Neighbors,5,1,0,0.9334195216548158,0.9430979978925185,0.8548233046800382,0.8967935871743486,0.9584501558177481,0.05309631544925662
Nearest Neighbors,6,1,1,0.934691238279987,0.9424083769633508,0.8595988538681948,0.8991008991008991,0.9538786048860917,0.055919818946007116
Nearest Neighbors,7,1,2,0.9385709666989978,0.9323915237134208,0.8825214899713467,0.9067713444553483,0.964342799470815,0.050811509860976406
Nearest Neighbors,8,1,3,0.9366311024894924,0.9446185997910136,0.8634192932187201,0.9021956087824351,0.9580953728056049,0.05101842870999031
Nearest Neighbors,9,1,4,0.944713870029098,0.9460285132382892,0.8872970391595033,0.9157220305569246,0.9646221901051366,0.046698997736825086
Nearest Neighbors,10,2,0,0.938267614738203,0.9385245901639344,0.874880611270296,0.9055857637172516,0.9650887990858568,0.04854557207498385
Nearest Neighbors,11,2,1,0.9385709666989978,0.9515279241306639,0.8624641833810889,0.9048096192384769,0.9595455432408939,0.051871968962172645
Nearest Neighbors,12,2,2,0.9382476559974136,0.9412371134020618,0.8720152817574021,0.9053049082796232,0.9554022991725182,0.0533462657613967
Nearest Neighbors,13,2,3,0.9321047526673133,0.9318885448916409,0.8624641833810889,0.8958333333333334,0.9544789329658541,0.055984481086323964
Nearest Neighbors,14,2,4,0.9398642095053347,0.9442724458204335,0.8739255014326648,0.9077380952380952,0.9589186065292914,0.04981571290009699
Nearest Neighbors,15,3,0,0.9337427278603749,0.9412997903563941,0.8576886341929322,0.8975512243878061,0.9491461168742759,0.05710407239819005
Nearest Neighbors,16,3,1,0.9427740058195926,0.9578947368421052,0.8691499522445081,0.9113670505758638,0.964464872404608,0.04655674102812803
Nearest Neighbors,17,3,2,0.9353378596831555,0.944386149003148,0.8595988538681948,0.9,0.9564274317255185,0.05328160362107986
Nearest Neighbors,18,3,3,0.944713870029098,0.9362549800796812,0.897803247373448,0.916626036079961,0.9692537259086849,0.04497898480439703
Nearest Neighbors,19,3,4,0.9327513740704817,0.9392670157068063,0.8567335243553008,0.8961038961038961,0.9547727949613521,0.05462657613967022
Nearest Neighbors,20,4,0,0.9356819650937298,0.94258872651357,0.8624641833810889,0.9007481296758105,0.9560033575820184,0.052811893988364576
Nearest Neighbors,21,4,1,0.9392175881021662,0.9450777202072539,0.8710601719197708,0.9065606361829026,0.9587941995049861,0.05074684772065956
Nearest Neighbors,22,4,2,0.9427740058195926,0.9438775510204082,0.8834765998089781,0.9126788357178096,0.9703997643502218,0.04548334949886842
Nearest Neighbors,23,4,3,0.9372777238926608,0.9475341028331584,0.8624641833810889,0.903,0.9541465584769033,0.05369544131910766
Nearest Neighbors,24,4,4,0.9333979954736502,0.933058702368692,0.8653295128939829,0.8979187314172448,0.9573830083812521,0.0533074684772066
Linear SVM,0,0,0,0.9528118939883645,0.9639546858908342,0.8939828080229226,0.9276511397423192,0.9728047987853728,0.039279809733904526
Linear SVM,1,0,1,0.9427740058195926,0.9627659574468085,0.8643744030563515,0.9109209864116758,0.9708598135901954,0.046382638671398586
Linear SVM,2,0,2,0.9518267054639509,0.9628865979381444,0.89207258834766,0.9261279127416956,0.979291715565863,0.03909698982931689
Linear SVM,3,0,3,0.944713870029098,0.95625,0.8767908309455588,0.9147982062780269,0.9725914753412673,0.043170341119302694
Linear SVM,4,0,4,0.9586162301972195,0.963673057517659,0.9121298949379179,0.9371933267909716,0.9743077320949581,0.03524443235308423
Linear SVM,5,1,0,0.9511958629605688,0.9628099173553719,0.8901623686723973,0.9250620347394541,0.9714549537632586,0.040322655098812187
Linear SVM,6,1,1,0.9498868412544456,0.965553235908142,0.8834765998089781,0.9226932668329177,0.972173206321464,0.04286571567431685
Linear SVM,7,1,2,0.9495635305528612,0.9578622816032888,0.8901623686723973,0.9227722772277228,0.9770437529934711,0.04049122337039894
Linear SVM,8,1,3,0.9508567733591982,0.9637305699481865,0.8882521489971347,0.9244532803180915,0.9757158889010262,0.0402281443835371
Linear SVM,9,1,4,0.9518267054639509,0.9553752535496958,0.8997134670487106,0.926709296606001,0.9764856719519812,0.03815104688229028
Linear SVM,10,2,0,0.9560439560439561,0.9624365482233502,0.9054441260744985,0.9330708661417323,0.9782872319031881,0.03651015736374116
Linear SVM,11,2,1,0.9460071128354348,0.9583333333333334,0.8787010506208214,0.916791230692576,0.9731679956978043,0.04316869405579934
Linear SVM,12,2,2,0.9463304235370191,0.9527235354573484,0.8853868194842407,0.9178217821782179,0.9729376209642409,0.04273881669219895
Linear SVM,13,2,3,0.9466537342386033,0.9565217391304348,0.8825214899713467,0.9180327868852459,0.971897550231962,0.04346435375357416
Linear SVM,14,2,4,0.9573229873908826,0.9711637487126673,0.9006685768863419,0.9345887016848364,0.97654239035143,0.036718253964271315
Linear SVM,15,3,0,0.9460245636716225,0.9621848739495799,0.874880611270296,0.9164582291145573,0.9721571717923918,0.04365958484202524
