Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Logistic Regression,9,1,4,0.6589072098286454,0.0787037037037037,0.5862068965517241,0.13877551020408163,0.6479553642446075,0.2225380544093629
Logistic Regression,10,2,0,0.6538461538461539,0.07678244972577697,0.5793103448275863,0.13559322033898305,0.6515569275382653,0.2224658416821006
Logistic Regression,11,2,1,0.6398318784351762,0.07530647985989491,0.5972222222222222,0.13374805598755832,0.6700811951320598,0.22474264859366064
Logistic Regression,12,2,2,0.6437116068541868,0.07232142857142858,0.5625,0.1281645569620253,0.6271028785652387,0.22645110076308858
Logistic Regression,13,2,3,0.6563207242159715,0.07102803738317758,0.5241379310344828,0.12510288065843622,0.6465470453375755,0.21637021011568544
Logistic Regression,14,2,4,0.6640801810539929,0.06769825918762089,0.4827586206896552,0.11874469889737066,0.6312029195714219,0.2147525722957861
Logistic Regression,15,3,0,0.6393018745959922,0.06921029281277728,0.5379310344827586,0.12264150943396226,0.6353199798879807,0.22333149442954145
Logistic Regression,16,3,1,0.674426123504688,0.07319485657764589,0.5138888888888888,0.12813852813852813,0.6397036660261483,0.2174718358674054
Logistic Regression,17,3,2,0.6653734238603298,0.07772511848341232,0.5694444444444444,0.13678065054211844,0.6547841076070985,0.21693808836705375
Logistic Regression,18,3,3,0.6437116068541868,0.07692307692307693,0.6,0.13636363636363635,0.6412716979366491,0.22294031005963572
Logistic Regression,19,3,4,0.6430649854510184,0.07678729037952339,0.6,0.13615023474178403,0.682225237449118,0.22408512526420982
Logistic Regression,20,4,0,0.6435035552682612,0.07078853046594982,0.5448275862068965,0.1252973830293418,0.6561593059014743,0.2248461881381902
Logistic Regression,21,4,1,0.6485612673779502,0.07560756075607561,0.5833333333333334,0.13386454183266933,0.6316595079311255,0.22372177648919367
Logistic Regression,22,4,2,0.6608470740381507,0.07351555136663525,0.5416666666666666,0.12946058091286308,0.6466575298594627,0.21909281537180736
Logistic Regression,23,4,3,0.6559974135143873,0.07493061979648474,0.5586206896551724,0.13213703099510604,0.6518177139381462,0.2248423633583369
Logistic Regression,24,4,4,0.6698997736825089,0.07965451055662189,0.5724137931034483,0.13984835720303285,0.645403078650634,0.21533489255584648
Nearest Neighbors,0,0,0,0.9528118939883645,0.3333333333333333,0.006896551724137931,0.013513513513513514,0.5590229300405748,0.050872656755009696
Nearest Neighbors,1,0,1,0.9515033947623667,0.125,0.006944444444444444,0.013157894736842105,0.5400477092046269,0.05158745554477853
Nearest Neighbors,2,0,2,0.9544131910766246,0.6153846153846154,0.05555555555555555,0.10191082802547771,0.5730968124788064,0.04891044293566117
Nearest Neighbors,3,0,3,0.9524733268671193,0.25,0.006896551724137931,0.013422818791946308,0.5470313011743789,0.05075978014872292
Nearest Neighbors,4,0,4,0.9524733268671193,0.25,0.006896551724137931,0.013422818791946308,0.554960698077013,0.05090203685741999
Nearest Neighbors,5,1,0,0.9528118939883645,0.42857142857142855,0.020689655172413793,0.039473684210526314,0.5298125606576163,0.05176470588235295
Nearest Neighbors,6,1,1,0.9518267054639509,0.2727272727272727,0.020833333333333332,0.03870967741935484,0.5346256734863042,0.0518073068218558
Nearest Neighbors,7,1,2,0.9531199482702878,0.3333333333333333,0.006944444444444444,0.013605442176870748,0.5366685034474963,0.051354671839637905
Nearest Neighbors,8,1,3,0.9540898803750404,0.7142857142857143,0.034482758620689655,0.06578947368421052,0.5902142890562859,0.04805690268347883
Nearest Neighbors,9,1,4,0.9518267054639509,0.25,0.013793103448275862,0.026143790849673203,0.5128538342768915,0.05302295505981248
Nearest Neighbors,10,2,0,0.9524886877828054,0.375,0.020689655172413793,0.0392156862745098,0.5200126284772161,0.05217840982546865
Nearest Neighbors,11,2,1,0.9537665696734562,0.6,0.020833333333333332,0.040268456375838924,0.538061395576655,0.05100549628192693
Nearest Neighbors,12,2,2,0.9527966375687035,0.25,0.006944444444444444,0.013513513513513514,0.5465400229833088,0.05099256385386356
Nearest Neighbors,13,2,3,0.9515033947623667,0.2222222222222222,0.013793103448275862,0.025974025974025976,0.5626620034623122,0.05037180730682186
Nearest Neighbors,14,2,4,0.9521500161655351,0.2,0.006896551724137931,0.013333333333333334,0.5613507696626585,0.05083737471710314
Nearest Neighbors,15,3,0,0.9531351001939238,0.5,0.013793103448275862,0.026845637583892617,0.5563791349493108,0.04978668390433097
Nearest Neighbors,16,3,1,0.953443258971872,0.5,0.020833333333333332,0.04,0.5688569100636751,0.049776915615906886
Nearest Neighbors,17,3,2,0.9518267054639509,0.14285714285714285,0.006944444444444444,0.013245033112582781,0.5461338118382879,0.05147106369220822
Nearest Neighbors,18,3,3,0.9524733268671193,0.375,0.020689655172413793,0.0392156862745098,0.5572123707481402,0.05075978014872292
Nearest Neighbors,19,3,4,0.9515033947623667,0.14285714285714285,0.006896551724137931,0.013157894736842105,0.5543606419314089,0.05108309085030714
Nearest Neighbors,20,4,0,0.9534583063994829,0.5714285714285714,0.027586206896551724,0.05263157894736842,0.5119163714175465,0.05213962508080155
Nearest Neighbors,21,4,1,0.9521500161655351,0.35714285714285715,0.034722222222222224,0.06329113924050633,0.5476715270713236,0.0509796314258002
Nearest Neighbors,22,4,2,0.953443258971872,0.5,0.013888888888888888,0.02702702702702703,0.5465129422403073,0.05103136113805367
Nearest Neighbors,23,4,3,0.9521500161655351,0.2,0.006896551724137931,0.013333333333333334,0.5459902680952604,0.05104429356611705
Nearest Neighbors,24,4,4,0.9515033947623667,0.14285714285714285,0.006896551724137931,0.013157894736842105,0.5287395311842044,0.05135467183963789
Linear SVM,0,0,0,0.9531351001939238,0.0,0.0,0.0,0.6532851580313607,0.0439991449574172
Linear SVM,1,0,1,0.953443258971872,0.0,0.0,0.0,0.6337046927395351,0.04433641645358965
Linear SVM,2,0,2,0.953443258971872,0.0,0.0,0.0,0.6191234787686976,0.043780532379177256
Linear SVM,3,0,3,0.953443258971872,1.0,0.006896551724137931,0.0136986301369863,0.6428566415571048,0.04369084460110654
Linear SVM,4,0,4,0.953443258971872,1.0,0.006896551724137931,0.0136986301369863,0.6829118514013006,0.04373269283484098
Linear SVM,5,1,0,0.9534583063994829,1.0,0.006896551724137931,0.0136986301369863,0.6661404801159949,0.043666719853356684
Linear SVM,6,1,1,0.953443258971872,0.0,0.0,0.0,0.6722382351833014,0.043566787586464484
Linear SVM,7,1,2,0.9537665696734562,1.0,0.006944444444444444,0.013793103448275862,0.6494880562149128,0.043528541812709085
Linear SVM,8,1,3,0.9531199482702878,0.0,0.0,0.0,0.6364303092687035,0.04416586283809736
Linear SVM,9,1,4,0.9524733268671193,0.0,0.0,0.0,0.6317257755111589,0.04450471927568861
Linear SVM,10,2,0,0.9534583063994829,1.0,0.006896551724137931,0.0136986301369863,0.6654926860069457,0.04379073982195416
Linear SVM,11,2,1,0.953443258971872,0.0,0.0,0.0,0.6814692362759504,0.04353477265854497
Linear SVM,12,2,2,0.953443258971872,0.0,0.0,0.0,0.6177929900908028,0.04388124722184739
Linear SVM,13,2,3,0.9531199482702878,0.0,0.0,0.0,0.6606337435081644,0.0438153930776668
Linear SVM,14,2,4,0.9531199482702878,0.0,0.0,0.0,0.6291968839189632,0.04425555774435361
Linear SVM,15,3,0,0.9537815126050421,1.0,0.013793103448275862,0.027210884353741496,0.6315653465230762,0.043678001864245954
Linear SVM,16,3,1,0.953443258971872,0.0,0.0,0.0,0.6375018838777741,0.0438251233280598
Linear SVM,17,3,2,0.953443258971872,0.0,0.0,0.0,0.6508067706567199,0.0438338292345945
