Modelo,Brier_mean,Brier_std
CatBoost,0.060192395929943736,0.0024740570058570696
Linear SVM,0.060475321490048695,0.0024205004872330464
Neural Net,0.060610597704451354,0.002615759796845259
XGBoost,0.06147069104445681,0.0026336313162510705
RBF SVM,0.0625432746111968,0.002728797319763626
Calibrated Random Forest,0.06338330667254018,0.0026920361859215317
Random Forest,0.06440577067311497,0.0022233985173179963
QDA,0.0701485346947039,0.003934184779588853
Nearest Neighbors,0.07444816731736342,0.002297685880156198
Dummy (prior),0.11278499392059924,9.346913200026203e-05
Logistic Regression,0.11386040744421246,0.0022239635181454925
Decision Tree,0.1248479739579186,0.005618080897561609
Balanced Random Forest,0.1397906139817882,0.0023362171040668743
AdaBoost,0.14507681817333784,0.002778405048950603
Naive Bayes,0.8248864503292439,0.0138872983606035
