Modelo,fold_global,repeat,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Brier
Dummy (prior),0,0,0,0.6903684550743374,0.0,0.0,0.0,0.5,0.21375986133405986
Dummy (prior),1,0,1,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),2,0,2,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),3,0,3,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),4,0,4,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),5,1,0,0.6903684550743374,0.0,0.0,0.0,0.5,0.21375986133405986
Dummy (prior),6,1,1,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),7,1,2,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),8,1,3,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),9,1,4,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),10,2,0,0.6903684550743374,0.0,0.0,0.0,0.5,0.2137598613340599
Dummy (prior),11,2,1,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),12,2,2,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),13,2,3,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),14,2,4,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),15,3,0,0.6903684550743374,0.0,0.0,0.0,0.5,0.21375986133405986
Dummy (prior),16,3,1,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),17,3,2,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),18,3,3,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),19,3,4,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),20,4,0,0.6903684550743374,0.0,0.0,0.0,0.5,0.21375986133405986
Dummy (prior),21,4,1,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),22,4,2,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),23,4,3,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Dummy (prior),24,4,4,0.690268347882315,0.0,0.0,0.0,0.5,0.2137979564207788
Logistic Regression,0,0,0,0.9201680672268907,0.8706986444212722,0.8716075156576201,0.8711528429838289,0.9557686894513382,0.0639573130147232
Logistic Regression,1,0,1,0.9233753637245393,0.863773965691221,0.8935281837160751,0.8783991790661878,0.9603936773039069,0.06346164244164113
Logistic Regression,2,0,2,0.9162625282896864,0.8644421272158499,0.8653444676409185,0.8648930620761607,0.9531611035871963,0.06755645038645589
Logistic Regression,3,0,3,0.9207888781118655,0.8671472708547889,0.8789144050104384,0.8729911871435977,0.9521646873609638,0.06695144068903736
Logistic Regression,4,0,4,0.9188490139023602,0.856710393541877,0.8862212943632568,0.8712160082093381,0.954502696386402,0.06746830695210942
Logistic Regression,5,1,0,0.9217840982546864,0.8690721649484536,0.8799582463465553,0.8744813278008299,0.9512419561664829,0.06641711284142122
Logistic Regression,6,1,1,0.914322664080181,0.86282722513089,0.860125260960334,0.8614741244119185,0.950714554619548,0.0704935082572152
Logistic Regression,7,1,2,0.9233753637245393,0.8728024819027922,0.8810020876826722,0.8768831168831169,0.9565502877286305,0.0630091333439071
Logistic Regression,8,1,3,0.9162625282896864,0.8548223350253807,0.8789144050104384,0.8667009778692744,0.9534300088494277,0.06716558702114432
Logistic Regression,9,1,4,0.9220821209182024,0.8610271903323263,0.8924843423799582,0.876473603280369,0.9605677323463695,0.06390396258750722
Logistic Regression,10,2,0,0.9308338720103426,0.8957446808510638,0.8789144050104384,0.8872497365648051,0.9560355140625367,0.05993203089590793
Logistic Regression,11,2,1,0.9133527319754284,0.845691382765531,0.8810020876826722,0.8629856850715747,0.9542289019375846,0.06836913826660641
Logistic Regression,12,2,2,0.9169091496928549,0.8536831483350151,0.8830897703549061,0.8681375064135454,0.9587445546684399,0.06609732024223462
Logistic Regression,13,2,3,0.9191723246039444,0.8612244897959184,0.8810020876826722,0.8710010319917441,0.9529464682960697,0.06729756459949585
Logistic Regression,14,2,4,0.9146459747817652,0.8555327868852459,0.8716075156576201,0.8634953464322648,0.9514982912292882,0.06834516906747326
Logistic Regression,15,3,0,0.9188752424046541,0.8648090815273478,0.8747390396659708,0.869745718733783,0.9542557059416856,0.06693997201543397
Logistic Regression,16,3,1,0.9204655674102813,0.8552894211576846,0.894572025052192,0.8744897959183674,0.9555758728420353,0.06728897437772097
Logistic Regression,17,3,2,0.9246686065308761,0.8819810326659642,0.8736951983298539,0.8778185631882538,0.9542005446553858,0.061463966098099565
