Modelo,Brier_mean,Brier_std
CatBoost,0.047646182887350355,0.002085891045926995
Calibrated Random Forest,0.04868677210182554,0.0019104672747381516
Neural Net,0.04911290765852005,0.002189582647633607
XGBoost,0.0491337220004387,0.0026074278533397824
Random Forest,0.049425572317414616,0.0018607543770317145
Linear SVM,0.04957090794650553,0.002204997426713331
RBF SVM,0.05165633559955916,0.0023704746391962446
Logistic Regression,0.05792974852311847,0.0023776555901344294
Nearest Neighbors,0.059094766818165015,0.002490526590684624
Balanced Random Forest,0.06339170017185417,0.0020596440115043225
QDA,0.06592826083771199,0.003095504638511037
Decision Tree,0.09998697561543456,0.005273957913882578
AdaBoost,0.14413003074371686,0.003367885231523849
Dummy (prior),0.1919285353334399,4.618049737098006e-05
Naive Bayes,0.6352887682925814,0.05471647972216153
